Date,Time,Latitude,Longitude
29/8/2011,6:56:58 pm,42.39162333,-88.08916333
29/8/2011,6:57:08 pm,42.39134833,-88.08916333
29/8/2011,6:57:18 pm,42.39102167,-88.08915667
29/8/2011,6:57:28 pm,42.39063667,-88.08915833
29/8/2011,6:57:38 pm,42.39041,-88.08885833
29/8/2011,6:57:48 pm,42.390395,-88.088315
29/8/2011,6:57:58 pm,42.39067333,-88.08800167
29/8/2011,6:58:08 pm,42.39102667,-88.08800167
29/8/2011,6:58:18 pm,42.39140333,-88.08800333
29/8/2011,6:58:28 pm,42.39171833,-88.087995
29/8/2011,6:58:38 pm,42.39203833,-88.08798833
29/8/2011,6:58:48 pm,42.39241,-88.08807833
29/8/2011,6:58:58 pm,42.3928,-88.08833167
29/8/2011,6:59:08 pm,42.39325667,-88.08837
29/8/2011,6:59:18 pm,42.3936,-88.08823167
29/8/2011,7:00:08 pm,42.39320333,-88.08841667
29/8/2011,7:00:18 pm,42.39279167,-88.08831167
29/8/2011,7:00:28 pm,42.39247667,-88.08821
29/8/2011,7:00:38 pm,42.392385,-88.08869667
29/8/2011,7:00:48 pm,42.39209833,-88.08911333
29/8/2011,7:00:58 pm,42.39218,-88.08949833
29/8/2011,7:01:08 pm,42.39242833,-88.08979
29/8/2011,7:01:18 pm,42.39272167,-88.09004167
29/8/2011,7:01:28 pm,42.39295833,-88.0903
29/8/2011,7:01:38 pm,42.39299,-88.090895
29/8/2011,7:01:48 pm,42.39300167,-88.09161167
29/8/2011,7:01:58 pm,42.39300833,-88.09201
29/8/2011,7:02:08 pm,42.39302,-88.09254833
29/8/2011,7:02:18 pm,42.39310333,-88.09318167
29/8/2011,7:02:28 pm,42.39311833,-88.09373667
29/8/2011,7:02:38 pm,42.39342333,-88.093895
29/8/2011,7:02:48 pm,42.39374333,-88.094075
29/8/2011,7:02:58 pm,42.394105,-88.09425
29/8/2011,7:03:08 pm,42.39447833,-88.09422333
29/8/2011,7:03:18 pm,42.39486,-88.09419833
29/8/2011,7:03:28 pm,42.395085,-88.094515
29/8/2011,7:03:38 pm,42.395095,-88.09502667
29/8/2011,7:03:48 pm,42.39507833,-88.09552
29/8/2011,7:03:58 pm,42.39535167,-88.09577167
29/8/2011,7:04:08 pm,42.39569667,-88.09583333
29/8/2011,7:04:18 pm,42.39598333,-88.09575667
29/8/2011,7:04:48 pm,42.39521833,-88.095685
29/8/2011,7:04:58 pm,42.39493167,-88.095555
29/8/2011,7:05:08 pm,42.39461667,-88.09559667
29/8/2011,7:05:18 pm,42.39429,-88.0956
29/8/2011,7:05:28 pm,42.39395667,-88.095485
29/8/2011,7:05:38 pm,42.39367333,-88.09537167
29/8/2011,7:05:48 pm,42.39333167,-88.09522167
29/8/2011,7:05:58 pm,42.39303667,-88.09514333
29/8/2011,7:06:08 pm,42.39264667,-88.09513833
29/8/2011,7:06:18 pm,42.39234833,-88.09514
29/8/2011,7:06:28 pm,42.39223667,-88.095455
29/8/2011,7:06:38 pm,42.39224667,-88.09598
29/8/2011,7:06:48 pm,42.39246333,-88.096435
29/8/2011,7:06:58 pm,42.39283833,-88.096445
29/8/2011,7:07:08 pm,42.39319333,-88.09644667
29/8/2011,7:07:18 pm,42.39348833,-88.09626667
29/8/2011,7:07:28 pm,42.39360333,-88.09591667
29/8/2011,7:07:38 pm,42.39367833,-88.09559333
29/8/2011,7:08:18 pm,42.39252667,-88.09514833
29/8/2011,7:08:28 pm,42.39219667,-88.09516333
29/8/2011,7:08:38 pm,42.39186,-88.09514
29/8/2011,7:08:48 pm,42.39151833,-88.09514333
29/8/2011,7:08:58 pm,42.39129667,-88.09520333
29/8/2011,7:09:08 pm,42.391275,-88.09560833
29/8/2011,7:09:18 pm,42.39127,-88.096035
29/8/2011,7:09:28 pm,42.39123833,-88.09646833
29/8/2011,7:09:38 pm,42.39095167,-88.09643667
29/8/2011,7:09:48 pm,42.39064167,-88.09644
29/8/2011,7:09:58 pm,42.390335,-88.09644333
29/8/2011,7:10:08 pm,42.39004833,-88.096435
29/8/2011,7:10:18 pm,42.38987,-88.09625833
29/8/2011,7:10:28 pm,42.38986667,-88.09587833
29/8/2011,7:10:38 pm,42.38985833,-88.09548667
29/8/2011,7:10:48 pm,42.389855,-88.09508
29/8/2011,7:10:58 pm,42.38984333,-88.09466667
29/8/2011,7:11:08 pm,42.389835,-88.09421833
29/8/2011,7:11:18 pm,42.38971167,-88.09391
29/8/2011,7:11:28 pm,42.38946,-88.093895
29/8/2011,7:11:58 pm,42.38972167,-88.09383333
29/8/2011,7:12:28 pm,42.38985667,-88.094905
29/8/2011,7:12:38 pm,42.39006667,-88.095155
29/8/2011,7:12:48 pm,42.39057,-88.09514333
29/8/2011,7:12:58 pm,42.39095333,-88.095145
29/8/2011,7:13:08 pm,42.391225,-88.09515333
29/8/2011,7:13:18 pm,42.39153167,-88.095155
29/8/2011,7:13:28 pm,42.391855,-88.09517167
29/8/2011,7:14:08 pm,42.39298833,-88.09497
29/8/2011,7:14:18 pm,42.39305333,-88.094515
29/8/2011,7:14:28 pm,42.39309333,-88.094055
29/8/2011,7:14:38 pm,42.39290167,-88.09385333
29/8/2011,7:14:48 pm,42.39258667,-88.09386667
29/8/2011,7:14:58 pm,42.39230833,-88.09387333
29/8/2011,7:15:18 pm,42.39218333,-88.09376667
29/8/2011,7:15:28 pm,42.39250833,-88.09384667
7/9/2011,7:52:52 pm,41.98143333,-87.78777667
7/9/2011,7:53:02 pm,41.98099833,-87.78777833
